Stkcd	Accper	Typrep	Indcd	F040202B	F040302B	F040502B	F040602B	F040802B	F040902B	F041002B	F041202B	F041402B	F041502B	F041702B	F041802B	Indnme
股票代码	截止日期	报表类型编码	行业代码	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	营运资金（资本）周转率B	现金及现金等价物周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B	总资产周转率B	股东权益周转率B	行业名称
002335	2016-12-31	B	C38	2.215939	165.167001	13.199649	27.72801	3.089856	2.189443	2.134047	0.850837	9.942119	0.863131	0.42847	0.710426	电气机械及器材制造业
002335	2017-12-31	A	C38	2.473293	147.576531	6.12665	59.575788	2.828173	1.953636	2.126725	0.852352	2.615308	0.860153	0.428117	0.697346	电气机械及器材制造业
002335	2017-12-31	B	C38	2.12091	172.09594	15.042728	24.264216	3.46481	1.702721	1.616176	0.760784	10.300894	0.616594	0.340571	0.504458	电气机械及器材制造业
002335	2018-12-31	A	C38	2.621856	139.214358	6.374084	57.26313	2.936609	4.565136	3.981681	1.142706	3.040869	0.888726	0.49992	0.953537	电气机械及器材制造业
002335	2018-12-31	B	C38	2.102921	173.568099	18.130555	20.131761	4.072931	3.142453	3.368702	1.000548	13.422213	0.670395	0.401427	0.647538	电气机械及器材制造业
002335	2019-12-31	A	C38	2.4842	146.928589	5.944366	61.402679	2.712098	5.488967	5.499669	1.204433	2.568382	0.867331	0.504228	1.111676	电气机械及器材制造业
002335	2019-12-31	B	C38	1.947206	187.448067	13.805014	26.439669	3.184564	3.917877	4.476297	0.910092	15.048289	0.676402	0.388018	0.714048	电气机械及器材制造业
002335	2020-12-31	A	C38	2.514019	145.583625	6.713973	54.513177	2.697464	7.386655	6.037685	1.24964	2.002291	0.878223	0.515758	1.202434	电气机械及器材制造业
002335	2020-12-31	B	C38	2.201457	166.253531	12.161968	30.093814	3.416265	7.516547	4.800882	0.990714	17.723159	0.747131	0.425926	0.835583	电气机械及器材制造业
002337	2016-12-31	A	C35	0.946075	386.861507	0.792277	461.959643	2.089266	0.458759	1.368772	0.321804	1.579343	0.698845	0.220341	0.278263	专用设备制造业
002337	2016-12-31	B	C35	0.967041	378.474129	0.750823	487.465088	2.196261	0.551451	2.180601	0.356217	1.293098	0.420583	0.192867	0.238906	专用设备制造业
002337	2017-12-31	A	C35	1.4118	258.535203	1.221759	298.74959	3.181384	0.618042	2.059028	0.455429	2.478583	1.289493	0.336561	0.422891	专用设备制造业
002337	2017-12-31	B	C35	1.578014	231.303398	1.18006	309.306306	3.509523	0.834755	2.930028	0.570795	2.211698	0.702117	0.314841	0.381804	专用设备制造业
002337	2018-12-31	A	C35	1.214248	300.597572	0.858868	424.977994	2.505537	0.471412	2.304808	0.370645	2.045396	1.190047	0.282622	0.341138	专用设备制造业
002337	2018-12-31	B	C35	1.413194	258.28018	0.935818	390.033105	3.032933	0.632862	2.664278	0.475834	1.883822	0.595622	0.264516	0.307196	专用设备制造业
002337	2019-12-31	A	C35	1.568822	232.658645	1.205506	302.777423	3.77289	0.554612	3.416856	0.441536	2.530872	1.474986	0.339813	0.403814	专用设备制造业
002337	2019-12-31	B	C35	1.717354	212.536262	1.478189	246.92377	4.43635	0.730476	3.701967	0.561892	2.440561	0.752783	0.321739	0.371338	专用设备制造业
002337	2020-12-31	A	C35	1.588243	230.443326	1.063104	344.274878	2.898485	0.395934	1.551045	0.289667	1.825329	1.030197	0.226095	0.286951	专用设备制造业
002337	2020-12-31	B	C35	1.403688	260.741703	0.972091	376.507961	2.467187	0.444105	1.586931	0.307709	1.55443	0.462565	0.184786	0.22726	专用设备制造业
002338	2016-12-31	A	C40	2.579778	141.872673	0.949455	385.484304	10.929439	0.549571	1.95601	0.4842	1.734205	1.24187	0.348371	0.402833	仪器仪表制造业
002338	2016-12-31	B	C40	1.85569	197.231219	0.816734	448.126318	10.520094	0.416024	1.941098	0.366414	1.287709	0.596647	0.227005	0.255483	仪器仪表制造业
002338	2017-12-31	A	C40	3.108215	117.430744	0.931599	391.799476	8.922041	0.591246	2.548711	0.532675	1.974442	1.335107	0.380761	0.42996	仪器仪表制造业
002338	2017-12-31	B	C40	1.95637	186.570025	0.711643	512.897619	8.045324	0.391104	2.003456	0.35431	1.417409	0.608349	0.223905	0.247905	仪器仪表制造业
002338	2018-12-31	A	C40	2.709515	134.710456	0.975307	374.241136	9.921928	0.622569	4.228577	0.567119	2.083429	1.300662	0.394923	0.440524	仪器仪表制造业
002338	2018-12-31	B	C40	1.976026	184.714169	0.782411	466.506734	9.457502	0.461427	3.111394	0.425745	1.762353	0.707188	0.265754	0.29075	仪器仪表制造业
002338	2019-12-31	A	C40	2.582648	141.327815	0.988958	369.07533	11.005306	0.627557	3.962713	0.566127	2.219591	1.327353	0.396862	0.443542	仪器仪表制造业
002338	2019-12-31	B	C40	2.016715	180.987398	0.882996	413.365406	10.571658	0.51021	3.092701	0.46185	2.030159	0.770095	0.288705	0.317862	仪器仪表制造业
002338	2020-12-31	A	C40	2.790875	131.141667	1.083777	337.707849	9.003235	0.668033	3.219029	0.597488	2.461928	1.372823	0.416302	0.465129	仪器仪表制造业
002338	2020-12-31	B	C40	2.062592	177.44663	0.961281	380.741947	7.987613	0.547507	2.635163	0.490264	2.218662	0.778315	0.300793	0.328904	仪器仪表制造业
002339	2016-12-31	A	C38	1.342346	272.656975	3.273514	111.806456	2.996305	1.24276	2.943129	0.712174	5.305192	2.234868	0.540072	0.881964	电气机械及器材制造业
002339	2016-12-31	B	C38	1.205114	303.705708	3.749402	97.615566	2.860237	1.296233	2.713414	0.654142	4.419491	1.506819	0.456127	0.783264	电气机械及器材制造业
002339	2017-12-31	A	C38	1.271718	287.013316	2.887548	126.404825	2.443399	1.138572	2.743891	0.65794	5.94078	2.020593	0.496327	0.90108	电气机械及器材制造业
002339	2017-12-31	B	C38	1.166154	312.994682	3.020712	120.83244	2.400567	1.152942	2.46825	0.603075	4.93765	1.360214	0.417825	0.808551	电气机械及器材制造业
002339	2018-12-31	A	C38	1.399316	260.841726	3.325248	109.766249	2.574118	1.299888	2.970173	0.70707	7.5125	2.175349	0.533623	0.989216	电气机械及器材制造业
002339	2018-12-31	B	C38	1.354865	269.399534	3.650638	99.982524	2.606142	1.38575	2.782058	0.682659	6.502268	1.526679	0.471725	0.926171	电气机械及器材制造业
002339	2019-12-31	A	C38	1.351073	270.155647	2.695388	135.416497	2.034278	1.28211	2.821753	0.665895	7.310218	2.040439	0.502051	0.910923	电气机械及器材制造业
002339	2019-12-31	B	C38	1.255652	290.685636	2.933034	124.444517	1.983052	1.35825	2.643747	0.620475	6.021971	1.325162	0.422602	0.80616	电气机械及器材制造业
002339	2020-12-31	A	C38	1.763249	207.571364	2.702908	135.409714	2.068171	1.34984	2.816095	0.736819	8.544393	2.476308	0.567855	1.014006	电气机械及器材制造业
002339	2020-12-31	B	C38	1.785986	204.928818	2.986307	122.559402	2.011872	1.534246	2.98962	0.733957	7.415287	1.584297	0.501587	0.943999	电气机械及器材制造业
002341	2016-12-31	A	C26	1.677234	218.216421	3.209079	114.051415	2.747287	2.006344	1.43378	0.550778	1.219525	0.523524	0.268403	0.557651	化学原料及化学制品制造业
002341	2016-12-31	B	C26	1.057682	346.039736	4.112911	88.988067	2.301513	0.657591	0.55344	0.221601	2.106877	0.195341	0.103822	0.188443	化学原料及化学制品制造业
002341	2017-12-31	A	C26	1.800954	202.670362	3.105669	117.527013	2.996377	1.327396	1.17941	0.539032	1.301581	0.554908	0.273427	0.532467	化学原料及化学制品制造业
002341	2017-12-31	B	C26	1.582005	230.719878	3.980342	91.700663	2.75856	0.351686	0.423537	0.186746	2.172481	0.166762	0.088095	0.147561	化学原料及化学制品制造业
002341	2018-12-31	A	C26	2.642571	138.123063	4.386345	83.212789	4.192053	3.603756	2.559004	0.868748	1.956515	0.742438	0.400321	0.774549	化学原料及化学制品制造业
002341	2018-12-31	B	C26	2.4437	149.36367	3.064534	119.104569	4.19516	0.740787	0.758719	0.241064	2.643893	0.13956	0.088389	0.140829	化学原料及化学制品制造业
002341	2019-12-31	A	C26	2.600929	140.334473	4.128831	88.402746	3.210133		4.278873	0.931465	1.778219	0.554495	0.347582	0.674166	化学原料及化学制品制造业
002341	2019-12-31	B	C26	2.481504	147.088217	2.812184	129.792361	3.105948		1.375616	0.274431	2.676014	0.095495	0.070843	0.110418	化学原料及化学制品制造业
002341	2020-12-31	A	C26	2.575056	142.132831	3.623679	101.002324	2.630014		10.078055	0.88056	1.245854	0.368084	0.259578	0.527692	化学原料及化学制品制造业
002341	2020-12-31	B	C26	2.960845	123.61336	3.647198	100.351009	2.124539		211.258522	0.300786	2.244006	0.068001	0.055462	0.087663	化学原料及化学制品制造业
002345	2016-12-31	A	C41	17.404975	21.02847	1.014536	360.75605	10.460879	1.693439	7.399182	0.961723	11.201922	1.683234	0.612034	1.034707	其他制造业
002345	2016-12-31	B	C41	5.723507	63.946807	1.225065	298.759658	11.254071	1.295082	6.897133	0.834021	10.295484	1.143996	0.48236	0.7525	其他制造业
002345	2017-12-31	A	C41	17.835791	20.464469	1.118438	326.347996	15.005412	1.402653	6.98634	1.010979	12.991204	1.415617	0.58978	0.994096	其他制造业
002345	2017-12-31	B	C41	3.608055	101.162538	1.500327	243.280298	17.117849	1.063185	6.049679	0.806255	11.64416	0.954156	0.436996	0.70123	其他制造业
002345	2018-12-31	A	C41	16.669148	21.89674	1.081492	337.496717	13.983713	1.452664	7.05631	1.009541	13.914183	1.466037	0.59785	0.955032	其他制造业
002345	2018-12-31	B	C41	2.230849	163.614839	1.228126	297.200776	12.896327	0.89932	5.187834	0.595967	9.303345	0.633288	0.307031	0.486763	其他制造业
002345	2019-12-31	A	C41	18.136638	20.125009	1.088764	335.242532	13.76749	2.061961	7.32026	1.102684	15.58104	1.640862	0.659494	1.047948	其他制造业
002345	2019-12-31	B	C41	3.166338	115.275122	0.804377	453.767326	8.986016	1.38188	5.231427	0.541175	7.993725	0.466677	0.250586	0.398697	其他制造业
002345	2020-12-31	A	C41	18.719098	19.552224	0.943773	387.805118	11.124009	1.921253	5.038348	0.956559	13.564612	1.711912	0.613664	0.932774	其他制造业
002345	2020-12-31	B	C41	11.895371	30.768271	0.6853	534.072669	7.678727	2.020926	3.787322	0.530444	8.073126	0.457099	0.245524	0.374456	其他制造业
002346	2016-12-31	A	C38	1.580793	231.529365	4.982845	73.452014	2.49857	0.70299	3.863076	0.427586	1.021466	0.430088	0.214417	0.268695	电气机械及器材制造业
002346	2016-12-31	B	C38	0.102739	3562.425174	0.46547	786.302017	0.121158	0.043411	0.386428	0.017822	0.073088	0.006182	0.00459	0.005451	电气机械及器材制造业
002346	2017-12-31	A	C38	1.656432	220.353145	4.702678	77.61535	3.16577	0.755315	6.374545	0.536082	1.237902	0.335347	0.206298	0.240167	电气机械及器材制造业
002346	2017-12-31	B	C38	0.156721	2328.979524	0.345777	1055.593634	0.074205	0.02091	0.25296	0.018796	0.068971	0.003516	0.002962	0.003115	电气机械及器材制造业
002346	2018-12-31	A	C38	1.786974	204.25591	6.77401	53.882412	4.519527	1.546888	18.299142	0.838185	1.69739	0.30625	0.224298	0.268653	电气机械及器材制造业
002346	2018-12-31	B	C38	1.345968	271.180296			0.073697	0.100322	1.290687	0.057766	0.212994	0.005853	0.005315	0.005814	电气机械及器材制造业
002346	2019-12-31	A	C38	1.353767	269.618036	3.811932	95.75197	3.210823	3.592472	4.877147	0.653556	1.454949	0.222238	0.165844	0.22185	电气机械及器材制造业
002346	2019-12-31	B	C38	2.082071	175.306222			0.12455		0.042215	0.015038	0.051506	0.00118	0.001094	0.001336	电气机械及器材制造业
002346	2020-12-31	A	C38	1.767906	207.024582	3.545547	103.228077	4.231674	4.685328	5.870128	0.821878	2.087719	0.291312	0.215078	0.293784	电气机械及器材制造业
002346	2020-12-31	B	C38	8.971472	40.795981			0.167812		0.031895	0.017588	0.055446	0.001192	0.001117	0.001383	电气机械及器材制造业
002346	2021-12-31	A	C38	1.694551	215.396291	4.312101	84.645513	2.809687	3.30554	7.109722	0.726665	2.388923	0.196552	0.154706	0.21333	电气机械及器材制造业
002346	2021-12-31	B	C38					1.547471		0.599087	0.343238	0.779077	0.007194	0.007046	0.009128	电气机械及器材制造业
002347	2016-12-31	A	C34	0.741069	493.881137	0.612725	597.331592	1.111939	0.562031	1.845764	0.312821	1.115191	0.618905	0.207793	0.301488	通用设备制造业
002347	2016-12-31	B	C34	0.751471	487.044743	0.674516	542.611295	1.023252	0.602766	1.856341	0.315682	1.212258	0.560019	0.201882	0.297026	通用设备制造业
002347	2017-12-31	A	C34	0.906387	402.697744	0.587594	621.177207	1.121687	0.669339	2.204462	0.323057	1.470878	0.78169	0.228587	0.369994	通用设备制造业
002347	2017-12-31	B	C34	0.909094	401.498635	0.621666	587.131997	1.090818	0.699297	2.259642	0.325059	1.526421	0.661585	0.217965	0.347247	通用设备制造业
002347	2018-12-31	A	C34	1.582028	230.716523	0.94459	386.411035	1.807588	1.163181	4.104689	0.473259	2.841178	1.399293	0.35365	0.653652	通用设备制造业
002347	2018-12-31	B	C34	1.774561	205.684674	1.144486	318.920459	2.23451	1.281166	4.747878	0.535214	3.186418	1.38228	0.385824	0.678066	通用设备制造业
002347	2019-12-31	A	C34	1.66485	219.23897	1.097047	332.711361	1.910538	1.174059	3.76747	0.48008	3.406362	1.629081	0.370806	0.703907	通用设备制造业
002347	2019-12-31	B	C34	1.664296	219.311949	1.245881	292.96538	2.154978	1.163374	4.118176	0.489789	3.563266	1.546524	0.371981	0.676616	通用设备制造业
002347	2020-12-31	A	C34	1.579593	231.705256	1.198566	305.364911	1.778537	1.107379	3.72438	0.493881	3.45736	1.68503	0.381936	0.693424	通用设备制造业
002347	2020-12-31	B	C34	1.609484	227.402074	1.437328	254.639164	1.867848	1.198432	4.197054	0.518377	3.970632	1.633539	0.393504	0.703934	通用设备制造业
002348	2016-12-31	A	C24	2.707515	135.179306	4.433087	82.560978	9.759706	0.736641	3.552331	0.684677	1.18821	0.584047	0.315186	0.328027	文教、工美、体育和娱乐用品制造业
002348	2016-12-31	B	C24	2.694527	135.83089	4.431519	82.590191	9.743509	0.75102	3.805711	0.690771	1.380648	0.570875	0.312563	0.326451	文教、工美、体育和娱乐用品制造业
002348	2017-12-31	A	C24	2.974251	122.719972	5.724166	63.764748	8.651739	1.525632	6.655512	1.211737	1.070639	0.675375	0.433666	0.503036	文教、工美、体育和娱乐用品制造业
002348	2017-12-31	B	C24	3.21757	113.439645	5.997508	60.85861	8.771677	1.792766	8.699238	1.351496	1.073948	0.598192	0.414658	0.480579	文教、工美、体育和娱乐用品制造业
002348	2018-12-31	A	C24	2.371409	153.916933	5.768333	63.276513	10.653855	1.81759	7.693963	1.254842	1.265181	0.732238	0.462409	0.591983	文教、工美、体育和娱乐用品制造业
002348	2018-12-31	B	C24	1.925948	189.517059	4.525363	80.656513	8.39209	2.212975	6.870685	1.138707	0.796249	0.385037	0.287741	0.373544	文教、工美、体育和娱乐用品制造业
002348	2019-12-31	A	C24	2.031751	179.647998	3.903654	93.502139	7.474539	1.538214	7.885381	1.01044	1.09213	0.753976	0.431784	0.574683	文教、工美、体育和娱乐用品制造业
002348	2019-12-31	B	C24	2.300095	158.689098	5.03769	72.453843	7.447994	3.868941	8.056605	1.361799	0.901692	0.42445	0.323592	0.433815	文教、工美、体育和娱乐用品制造业
002348	2020-12-31	A	C24	1.626318	225.048238	3.124678	117.132069	5.129268	1.601283	10.755768	0.871479	0.808719	0.707074	0.390357	0.545277	文教、工美、体育和娱乐用品制造业
002348	2020-12-31	B	C24	2.022418	180.971491	4.391454	83.343694	4.901252	8.359842	15.450987	1.315414	0.702843	0.330984	0.264445	0.347327	文教、工美、体育和娱乐用品制造业
002349	2016-12-31	A	C27	4.082106	89.659602	1.722916	212.430554	7.842261	1.22193	2.076757	0.917588	1.779691	0.565914	0.350034	0.388625	医药制造业
002349	2016-12-31	B	C27	4.4695	81.888354	1.537132	238.105771	6.931467	1.323484	1.856665	1.005447	2.57937	0.149175	0.129902	0.134421	医药制造业
002349	2017-12-31	A	C27	5.161132	70.720919	1.585167	230.259651	5.15265	1.425249	2.95359	1.053036	1.980437	0.615357	0.388394	0.45292	医药制造业
002349	2017-12-31	B	C27	4.254346	85.79462	1.791582	203.730558	9.604355	1.919964	3.2857	1.276725	3.557385	0.182985	0.160046	0.173138	医药制造业
002349	2018-12-31	A	C27	3.614151	100.991907	1.633896	223.392431	5.022073	1.65954	4.572484	1.094407	1.965316	0.650425	0.407965	0.507233	医药制造业
002349	2018-12-31	B	C27	3.097985	117.818518	1.767559	206.499472	10.128627	2.279583	4.196193	1.278629	4.622023	0.21801	0.186254	0.211567	医药制造业
002349	2019-12-31	A	C27	3.168862	115.183306	1.59427	228.944909	5.49802	1.832059	4.540327	0.996783	1.522665	0.575989	0.365047	0.478048	医药制造业
002349	2019-12-31	B	C27	2.048646	178.166457	1.340396	272.307587	7.586114	1.367467	3.153536	0.860111	2.901915	0.189015	0.154961	0.179312	医药制造业
002349	2020-12-31	A	C27	5.0201	72.906914	2.025081	180.733511	4.770831	1.778842	2.914628	1.015608	1.49989	0.717033	0.420297	0.552969	医药制造业
002349	2020-12-31	B	C27	2.746958	133.238295	1.500115	243.981295	7.751231	1.116271	2.39101	0.83034	2.603474	0.235522	0.183479	0.211869	医药制造业
002349	2021-12-31	A	C27	6.046702	60.363484	2.300468	158.663368	4.20152	1.441478	2.230559	0.900528	1.330828	0.813483	0.427397	0.5371	医药制造业
002349	2021-12-31	B	C27	3.599129	101.413425	1.534758	237.82251	8.678052	1.04087	2.085069	0.814143	2.767974	0.24698	0.189494	0.212138	医药制造业
002350	2016-12-31	A	C38	2.509591	145.840498	3.753634	97.505511	2.44241	3.243868	5.764301	1.192181	5.238816	2.73454	0.830226	1.484279	电气机械及器材制造业
002350	2016-12-31	B	C38	2.920145	125.336242	6.35531	57.589638	2.682402	7.608034	6.639984	1.453018	7.762236	2.234057	0.880407	1.727712	电气机械及器材制造业
002350	2017-12-31	A	C38	2.493554	146.37742	3.774504	96.701447	2.493381	3.965152	6.651065	1.213825	5.131331	2.742152	0.841383	1.749482	电气机械及器材制造业
002350	2017-12-31	B	C38	2.693522	135.51031	5.747843	63.502082	2.558851	11.211813	7.796994	1.415216	7.047597	2.188649	0.859469	2.01211	电气机械及器材制造业
002350	2018-12-31	A	C38	2.251094	162.143385	3.600657	101.370389	2.27092	3.091053	5.940629	1.105996	5.218857	2.719026	0.7862	1.632268	电气机械及器材制造业
002350	2018-12-31	B	C38	2.347643	155.475087	4.774167	76.453128	2.221536	5.495798	6.857807	1.238878	8.274281	2.188116	0.791017	1.804676	电气机械及器材制造业
002350	2019-12-31	A	C38	2.123639	171.874787	3.327115	109.704654	2.257022	2.562276	4.923616	1.000113	3.785195	2.054671	0.672683	1.206087	电气机械及器材制造业
002350	2019-12-31	B	C38	2.178735	167.528405	4.474508	81.573214	2.255727	4.613263	6.270057	1.147717	7.465333	1.779075	0.697649	1.365225	电气机械及器材制造业
002350	2020-12-31	A	C38	2.132434	171.634855	3.713831	98.550526	2.324183	2.673986	5.589379	1.023314	3.312714	1.794593	0.651701	1.081371	电气机械及器材制造业
002350	2020-12-31	B	C38	2.263571	161.691416	5.494477	66.612345	2.433749	5.667945	9.391388	1.257428	6.826346	1.523874	0.688944	1.200981	电气机械及器材制造业
002351	2016-12-31	A	C39	14.182712	25.806066	3.06334	119.477433	5.505049	0.550557	4.013961	0.496304	2.963685	1.603294	0.378988	0.41304	计算机、通信和其他电子设备制造业
002351	2016-12-31	B	C39	5.349496	68.41766	114.064672	3.208706	9.466851	0.006823	0.048478	0.006752	2.262709	0.008674	0.003797	0.00382	计算机、通信和其他电子设备制造业
002351	2017-12-31	A	C39	11.899002	30.674841	2.330546	156.61566	5.00742	0.693629	6.60466	0.6076	2.805622	1.825513	0.455869	0.506493	计算机、通信和其他电子设备制造业
002351	2017-12-31	B	C39	6.830413	53.437471	621.935808	0.586877	118.452223	0.031678	0.308176	0.031312	12.571267	0.032188	0.015872	0.015969	计算机、通信和其他电子设备制造业
002351	2018-12-31	A	C39	10.145263	35.977382	1.962637	185.974278	5.125526	0.679693	11.458118	0.589448	2.335932	1.742635	0.440461	0.492338	计算机、通信和其他电子设备制造业
002351	2018-12-31	B	C39	4.943986	73.82707	816.159057	0.447217	53.067828	0.022314	6.762662	0.021491	11.905925	0.020017	0.010364	0.010553	计算机、通信和其他电子设备制造业
002351	2019-12-31	A	C39	9.242901	39.489766	2.173911	167.900158	5.285599	0.938214	14.417785	0.789947	3.107944	2.348528	0.591119	0.677217	计算机、通信和其他电子设备制造业
002351	2019-12-31	B	C39	14.812017	24.642154	12484.21477	0.029237	109.280971	0.019917	1.130747	0.019033	13.052696	0.015909	0.008666	0.008849	计算机、通信和其他电子设备制造业
002351	2020-12-31	A	C39	9.891327	37.002113	2.50071	146.358434	4.738811	1.336238	15.451823	1.04857	4.706097	3.430481	0.803094	0.980448	计算机、通信和其他电子设备制造业
002351	2020-12-31	B	C39	60.353785	6.064243			467.449802	0.036503	1.975032	0.035539	24.58049	0.02763	0.015545	0.015739	计算机、通信和其他电子设备制造业
002353	2016-12-31	A	C35	1.593982	229.613634	1.03055	355.150163	3.597826	0.500477	1.884472	0.38024	1.674231	1.021926	0.277126	0.35225	专用设备制造业
002353	2016-12-31	B	C35	0.913522	400.647166	1.009541	362.540996	4.713929	0.281348	2.31863	0.231039	2.717422	0.156688	0.093367	0.102928	专用设备制造业
002353	2017-12-31	A	C35	1.722202	211.937972	1.358385	268.701436	7.904574	0.566386	2.579681	0.430425	1.89745	1.149159	0.313137	0.392604	专用设备制造业
002353	2017-12-31	B	C35	1.295523	281.739498	1.949371	187.239884	6.929312	0.313786	2.925148	0.249421	3.386403	0.173632	0.102369	0.113195	专用设备制造业
002353	2018-12-31	A	C35	2.055541	177.568825	1.6394	222.64243	3.57126	0.816585	3.911965	0.559212	2.782001	1.592275	0.413862	0.54604	专用设备制造业
002353	2018-12-31	B	C35	0.955085	382.164938	2.509371	145.454777	5.805742	0.260244	3.505454	0.176944	2.56886	0.104071	0.065529	0.074444	专用设备制造业
002353	2019-12-31	A	C35	2.532732	144.113155	1.350582	270.253861	2.845857	1.095476	4.91155	0.630595	4.391935	2.14025	0.487083	0.740449	专用设备制造业
002353	2019-12-31	B	C35	1.363014	267.788886	2.701872	135.091522	7.287594	0.433586	2.807672	0.200906	3.294467	0.10186	0.067591	0.082578	专用设备制造业
002353	2020-12-31	A	C35	2.662133	137.48374	1.143945	319.945452	2.904992	1.122753	3.965697	0.601199	5.119433	2.144782	0.469574	0.774728	专用设备制造业
002353	2020-12-31	B	C35	1.578234	231.904775	1.991523	183.778947	8.718741	0.473024	1.27044	0.170711	3.620926	0.093381	0.060362	0.080303	专用设备制造业
002355	2016-12-31	A	C36	4.025206	90.927023	1.243591	294.308981	7.910588	2.366068	2.907027	0.660339	1.466502	0.787027	0.359069	0.62421	汽车制造业
002355	2016-12-31	B	C36	4.944306	74.024545	1.422494	257.294583	13.738399	5.290892	2.908602	0.695632	2.478726	0.64989	0.335992	0.599641	汽车制造业
002355	2017-12-31	A	C36	4.512633	80.884043	1.481709	246.337169	8.699118	3.217866	4.285106	0.819142	2.156928	1.011548	0.452617	0.866309	汽车制造业
002355	2017-12-31	B	C36	6.411857	56.925786	1.757113	207.727107	15.45561	12.179886	4.024334	0.875271	3.699382	0.769752	0.409564	0.808175	汽车制造业
002355	2018-12-31	A	C36	3.606625	101.202648	1.314318	277.710569	6.579276	1.808927	5.04622	0.69772	2.162116	1.002192	0.411344	0.737646	汽车制造业
002355	2018-12-31	B	C36	6.171614	59.141742	1.588739	229.741953	12.864618	2.954011	4.846864	0.769417	4.001251	0.750154	0.379832	0.675433	汽车制造业
002355	2019-12-31	A	C36	3.41633	106.839796	1.227359	297.386502	5.505082	1.320355	5.559962	0.616225	1.947121	0.963084	0.375782	0.622336	汽车制造业
002355	2019-12-31	B	C36	6.16809	59.175531	1.480954	246.462753	13.31818	1.645667	5.710022	0.650843	4.092602	0.726009	0.343187	0.553437	汽车制造业
002355	2020-12-31	A	C36	2.969516	123.252409	1.202085	304.470982	5.171842	1.348534	5.012226	0.543114	1.522958	0.78284	0.320653	0.530372	汽车制造业
002355	2020-12-31	B	C36	4.478102	81.731055	1.346808	271.753658	12.238719	1.632551	12.159089	0.578661	3.618844	0.586016	0.291158	0.451701	汽车制造业
002356	2016-12-31	A	C41	4.626969	79.101459	1.116253	327.882657	6.536983	5.379447	6.394631	0.925583	10.194891	1.541905	0.578386	1.219538	其他制造业
002356	2016-12-31	B	C41	1.393623	262.624828	5.063021	72.288857	2.910101		3.965605	0.598359	11.777609	0.424402	0.248293	0.430818	其他制造业
002358	2016-12-31	A	C38	1.935081	189.139369	2.578624	141.936164	3.070708	1.332383	2.623036	0.618724	2.954446	2.30812	0.487928	0.87649	电气机械及器材制造业
002358	2016-12-31	B	C38	2.314325	158.145464	2.835739	129.066885	4.268446	1.29351	2.463006	0.632906	2.849022	2.091679	0.485885	0.828481	电气机械及器材制造业
002358	2017-12-31	A	C38	1.66064	219.794778	3.491246	104.547202	2.713662	1.060234	1.940904	0.54149	3.463318	2.441049	0.443181	0.752633	电气机械及器材制造业
002358	2017-12-31	B	C38	1.801756	202.58015	4.419951	82.580101	3.385377	1.090555	1.901125	0.563408	3.448493	2.176819	0.447568	0.740026	电气机械及器材制造业
002358	2018-12-31	A	C38	0.81926	445.524009	2.677674	136.312337	1.748379	0.944653	2.090084	0.401317	2.643307	1.23228	0.302727	0.543351	电气机械及器材制造业
002358	2018-12-31	B	C38	0.831159	439.145819	3.563884	102.416352	2.155572	0.951104	1.982549	0.404658	2.548258	1.072701	0.293819	0.512334	电气机械及器材制造业
002358	2019-12-31	A	C38	0.461196	791.420567	1.528212	238.841208	1.183079	0.816387	2.238651	0.274993	0.857863	0.552028	0.183555	0.334959	电气机械及器材制造业
002358	2019-12-31	B	C38	0.377403	967.135926	1.542469	236.633605	1.24579	0.704519	1.68477	0.231123	0.684985	0.390998	0.145259	0.255598	电气机械及器材制造业
002358	2020-12-31	A	C38	0.66114	553.589255	1.725299	212.137143	1.467848	1.559874	4.308978	0.367917	0.622574	0.537605	0.218431	0.408057	电气机械及器材制造业
002358	2020-12-31	B	C38	0.635745	575.702522	1.975125	185.304728	1.699222	1.796643	3.671308	0.351894	0.544448	0.407428	0.188815	0.338087	电气机械及器材制造业
002360	2016-12-31	A	C26	9.352129	39.135474	5.763312	63.505151	6.850675	1.768887	1.704365	1.154359	2.431954	0.801551	0.473067	0.590142	化学原料及化学制品制造业
002360	2016-12-31	B	C26	6.529234	56.05558	5.03526	72.687408	4.517844	1.341765	0.943391	0.6555	1.748192	0.245488	0.178601	0.22322	化学原料及化学制品制造业
002360	2017-12-31	A	C26	10.172196	35.882124	7.507253	48.619648	6.837241	1.880132	1.486836	1.074259	2.214718	0.886667	0.485745	0.641303	化学原料及化学制品制造业
002360	2017-12-31	B	C26	7.576802	48.173359	7.294565	50.037254	4.156185	2.374339	0.942095	0.688151	1.448642	0.277191	0.197598	0.265117	化学原料及化学制品制造业
002360	2018-12-31	A	C26	11.678054	31.255207	9.179953	39.760552	6.727734	2.474673	2.374259	1.469555	2.280785	1.132659	0.639649	0.827259	化学原料及化学制品制造业
002360	2018-12-31	B	C26	8.061737	45.275603	7.768251	46.986123	3.933782	14.285888	1.743524	1.035143	1.10206	0.275088	0.217332	0.286954	化学原料及化学制品制造业
002360	2019-12-31	A	C26	8.814489	41.409094	7.896478	46.223139	7.469777	1.756877	2.248402	1.232213	2.125273	1.169731	0.600079	0.745439	化学原料及化学制品制造业
