Stkcd	Accper	Typrep	Indcd	F040202B	F040302B	F040502B	F040602B	F040802B	F040902B	F041002B	F041202B	F041402B	F041502B	F041702B	F041802B	Indnme
股票代码	截止日期	报表类型编码	行业代码	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	营运资金（资本）周转率B	现金及现金等价物周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B	总资产周转率B	股东权益周转率B	行业名称
000016	2021-12-31	B	C39	0.641204	569.241614	14.204895	25.695368	0.370833	1.34249	0.75508	0.124415	6.904845	0.261508	0.084306	0.455079	计算机、通信和其他电子设备制造业
000017	2016-12-31	A	C37	13.165726	27.799454	35.186417	10.401741	14.395083	15.753569	5.592985	3.25213	59.942863	22.449261	2.840621	9.257324	铁路、船舶、航空航天和其它运输设备制造业
000017	2016-12-31	B	C37						1.51223	2.644502	0.234409	1.451488	0.540412	0.163493	0.398134	铁路、船舶、航空航天和其它运输设备制造业
000017	2017-12-31	A	C37	6.645403	54.925187	42.074435	8.675102	18.132419	13.085193	6.366401	2.44384	35.851183	18.176852	2.154211	7.608191	铁路、船舶、航空航天和其它运输设备制造业
000017	2017-12-31	B	C37	2.772022	131.672837				13.436772	2.962864	0.972751	7.167316	3.790528	0.774097	2.956497	铁路、船舶、航空航天和其它运输设备制造业
000017	2018-12-31	A	C37	4.133633	88.30005	41.8575	8.720062	15.541787	10.875884	6.723849	1.802956	32.216054	17.388687	1.633577	6.690968	铁路、船舶、航空航天和其它运输设备制造业
000017	2018-12-31	B	C37	2.219666	164.439154				10.954173	2.788166	0.89295	10.740729	6.21809	0.78082	3.966515	铁路、船舶、航空航天和其它运输设备制造业
000017	2019-12-31	A	C37	2.248393	162.338168	16.22729	22.492973	6.810126	9.755545	6.738628	1.234735	19.760753	11.844756	1.118173	5.349557	铁路、船舶、航空航天和其它运输设备制造业
000017	2019-12-31	B	C37	2.529619	144.290504	79.43374	4.595025	11.765026		10.648671	1.478575	16.967173	8.185665	1.252362	11.030064	铁路、船舶、航空航天和其它运输设备制造业
000017	2020-12-31	A	C37	2.517033	145.409297	14.951361	24.479377	10.427727	9.167692	9.079109	1.647159	29.52476	20.726951	1.525897	6.356266	铁路、船舶、航空航天和其它运输设备制造业
000017	2020-12-31	B	C37	1.0112	361.946203	23.039315	15.885889	4.450908		4.790496	0.734839	7.864453	1.745331	0.517117	7.538081	铁路、船舶、航空航天和其它运输设备制造业
000019	2016-12-31	A	C15	3.946898	92.731051	1.292082	283.263756	10.080251	0.644702	1.080401	0.51991	0.790775	0.460496	0.244201	0.272447	酒、饮料和精制茶制造业
