股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	净资产收益率B	投入资本回报率	投资收益率	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B
300519	2016-12-31	A	C27	0.257874	0.223644	0.250488	0.180346	0.024969	9.456304	38.704339	3.057935	119.688613	3.906342	0.772486	7.400055	2.548401
300519	2017-12-31	A	C27	0.163058	0.143847	0.157708	0.144978	0.1408	9.969506	36.611644	2.936947	124.278715	3.343902	0.520714	5.901612	2.204703
300519	2018-12-31	A	C27	0.118979	0.110164	0.120619	0.107498	0.297076	12.083396	30.20674	2.533245	144.083971	2.827373	0.429866	4.275583	1.769576
300519	2019-12-31	A	C27	0.115127	0.111545	0.12093	0.101755	0.01923	15.66554	23.299548	2.53414	144.033084	3.245054	0.428142	3.344349	1.803229
300519	2020-12-31	A	C27	0.116576	0.112992	0.121693	0.102919	0.077548	14.829518	24.680505	2.746007	133.284438	3.528662	0.392812	2.584881	1.822717
300534	2016-12-31	A	C27	0.073273	0.067014	0.085192	0.060895	0	2.379917	153.786876	5.85893	62.468744	5.980992	0.955212	1.402093	0.637871
300534	2017-12-31	A	C27	0.022605	0.022142	0.024171	0.022571	0.01534	1.835924	198.809973	8.916854	40.933719	6.204519	0.991083	0.757242	0.538269
300534	2018-12-31	A	C27	0.017174	0.015733	0.017136	0.016512	0.018785	1.265403	288.445657	4.116062	88.676993	4.27837	0.75889	0.604001	0.396299
300558	2016-12-31	A	C27	0.256556	0.221983	0.260621	0.187864	0.032985	31.575527	11.591255	0.537604	680.798506	1.010923	1.110637	4.384873	1.427234
300558	2017-12-31	A	C27	0.119137	0.101523	0.125529	0.103594	-0.251753	15.778789	23.13232	0.500228	729.667272	0.51555	1.13396	2.433681	0.6558
300558	2018-12-31	A	C27	0.062898	0.052469	0.076623	0.057731	0.013708	15.715934	23.224837	0.563753	647.446665	0.444926	2.264283	2.298712	0.475239
300558	2019-12-31	A	C27	0.081852	0.059483	0.0967	0.071247	-0.062445	25.932743	14.074871	0.752802	484.855247	0.699471	2.273478	2.414809	0.499139
300573	2017-12-31	A	C27	0.069775	0.054994	0.071557	0.065218	0	5.554283	65.715053	1.825266	199.970854	10.984878	1.642164	0.839693	0.750455
