Stkcd	Accper	Typrep	Indcd	F050102B	F050202B	F050302B	F050402B	F050502B	F051201B	F053201B	F053301B	F051301B	F051401B	F051501B	F051701B	F051801B	F051901B	F053202B	F053401B	Indnme
股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	流动资产净利润率B	固定资产净利润率B	净资产收益率B	投入资本回报率	长期资本收益率	营业毛利率	营业成本率	营业利润率	营业净利率	销售费用率	管理费用率	财务费用率	投资收益率	研发费用率	行业名称
600741	2019-12-31	A	C36	0.068746	0.062433	0.103593	0.396679	0.150293	0.104414	0.139062	0.144617	0.855383	0.063578	0.059131	0.013613	0.05576	-0.000398	0.272893	0.036553	汽车制造业
600741	2020-12-31	A	C36	0.055106	0.048197	0.078651	0.300922	0.119396	0.088385	0.118214	0.152306	0.847694	0.059286	0.05224	0.013019	0.061777	0.000288	0.280634	0.04172	汽车制造业
600742	2016-12-31	A	C36	0.073635	0.067854	0.131799	0.341809	0.111703	0.090339	0.112531	0.065355	0.934645	0.046263	0.043811	0.005854	0.038248	0.000346	0.231961		汽车制造业
600742	2017-12-31	A	C36	0.072765	0.067541	0.122674	0.383751	0.115365	0.096536	0.116603	0.066485	0.933515	0.047657	0.045617	0.005342	0.041392	0.00023	0.236645		汽车制造业
600742	2018-12-31	A	C36	0.074841	0.066892	0.127728	0.356948	0.113856	0.096797	0.121711	0.072897	0.927103	0.050651	0.044722	0.00601	0.036574	-0.00033	0.216141	0.008223	汽车制造业
600742	2019-12-31	A	C36	0.058778	0.05572	0.100508	0.268613	0.114942	0.083474	0.11461	0.083271	0.916729	0.042002	0.039948	0.012102	0.031075	-0.000159	0.30809	0.01011	汽车制造业
600742	2020-12-31	A	C36	0.062836	0.05695	0.09583	0.297129	0.131504	0.092064	0.137286	0.098311	0.901689	0.056459	0.049654	0.004281	0.043219	-0.00171	0.126394	0.013764	汽车制造业
600745	2016-12-31	A	C39	0.02615	0.01593	0.026422	0.14092	0.034903	0.032572	0.049256	0.080224	0.919776	0.013963	0.014285	0.008329	0.049649	0.004707	0.031074		计算机、通信和其他电子设备制造业
600745	2017-12-31	A	C39	0.041119	0.028144	0.041709	0.27446	0.07634	0.067365	0.100139	0.08976	0.91024	0.022498	0.019794	0.008358	0.048144	0.00652	0.186357		计算机、通信和其他电子设备制造业
600745	2018-12-31	A	C39	0.019778	0.005179	0.007447	0.090628	0.019506	0.035317	0.073273	0.090631	0.909369	0.003989	0.004161	0.008685	0.017046	0.01222	-0.008398	0.04223	计算机、通信和其他电子设备制造业
600745	2019-12-31	A	C39	0.049453	0.033612	0.064685	0.487166	0.109676	0.043348	0.107167	0.103227	0.896773	0.036957	0.033175	0.011631	0.014798	0.01338	0.356538	0.031738	计算机、通信和其他电子设备制造业
600745	2020-12-31	A	C39	0.056053	0.039347	0.088234	0.465004	0.097417	0.073076	0.096692	0.152085	0.847915	0.051796	0.047568	0.020862	0.024902	0.016484	0.047178	0.042954	计算机、通信和其他电子设备制造业
600746	2016-12-31	A	C26	0.049541	0.037794	0.118523	0.076164	0.050881	0.039636	0.065409	0.137377	0.862623	0.040128	0.034938	0.025824	0.039459	-0.001677	0.079351		化学原料及化学制品制造业
