Stkcd	Accper	Indcd	F100101B	F100201B	F100301B	F100401A	F100901A	F100902A	F100903A	F100904A	Indnme
股票代码	截止日期	行业代码	市盈率1	市销率1	市现率1	市净率	托宾Q值A	托宾Q值B	托宾Q值C	托宾Q值D	行业名称
000045	2019-12-31	C39		1.758223	9.903727	0.984423	0.942106	0.94976	0.942031	0.949684	计算机、通信和其他电子设备制造业
000045	2020-12-31	C39	83.69941	1.72631	1885.475929	0.933684	0.902737	0.909333	0.902601	0.909196	计算机、通信和其他电子设备制造业
000045	2021-12-31	C39	64.061492	2.097858		1.213967	1.100684	1.11051	1.100706	1.110532	计算机、通信和其他电子设备制造业
000049	2016-12-31	C38	24.68065	0.989236	100.867279	5.753263	2.385675	2.414847	2.385675	2.414847	电气机械及器材制造业
000049	2017-12-31	C38	22.3372	0.650778		4.47637	1.828235	1.842534	1.828235	1.842534	电气机械及器材制造业
000049	2018-12-31	C38	11.199044	0.341255	48.182561	2.599257	1.410535	1.419565	1.410535	1.419565	电气机械及器材制造业
000049	2019-12-31	C38	12.601912	0.457701	5.293738	2.95019	1.630247	1.664182	1.636247	1.670307	电气机械及器材制造业
000049	2020-12-31	C38	18.920712	0.722069	10.924214	4.962764	2.225623	2.280089	2.237291	2.292043	电气机械及器材制造业
000049	2021-12-31	C38	22.058757	0.899469	36.455222	5.106939	2.299053	2.350864	2.306874	2.358861	电气机械及器材制造业
000050	2017-12-31	C39	34.211482	1.970787	14.374145	1.907844	1.443139	1.508654	1.443166	1.508682	计算机、通信和其他电子设备制造业
000050	2018-12-31	C39	20.421291	0.69495	5.635586	0.772632	0.932635	0.972007	0.901517	0.939576	计算机、通信和其他电子设备制造业
000050	2019-12-31	C39	40.228277	1.101775	7.008255	1.249247	1.09082	1.131282	1.101705	1.142571	计算机、通信和其他电子设备制造业
000050	2020-12-31	C39	24.568785	1.239268	5.425772	1.079207	1.026898	1.06207	1.036147	1.071635	计算机、通信和其他电子设备制造业
000050	2021-12-31	C39	20.746039	1.005362	6.332849	0.917622	0.966506	0.990782	0.964284	0.988504	计算机、通信和其他电子设备制造业
000063	2016-12-31	C39		0.659318	12.688632	1.632498	1.1494	1.187464	1.182572	1.221735	计算机、通信和其他电子设备制造业
000063	2017-12-31	C39	28.302242	1.400957	21.114419	3.359301	1.609127	1.66763	1.743705	1.807101	计算机、通信和其他电子设备制造业
000063	2018-12-31	C39		0.960489		2.491892	1.311329	1.406408	1.380158	1.480228	计算机、通信和其他电子设备制造业
